iter	Passed	Remaining
557	2798	2216
558	2802	2211
559	2809	2207
560	2814	2202
561	2819	2197
562	2825	2193
563	2831	2189
564	2834	2182
565	2839	2176
566	2847	2174
567	2851	2168
568	2856	2163
569	2860	2158
570	2866	2153
571	2871	2148
572	2877	2144
573	2882	2138
574	2887	2133
575	2893	2129
576	2898	2124
577	2902	2119
578	2907	2113
579	2912	2108
580	2917	2104
581	2923	2099
582	2928	2094
583	2932	2088
584	2936	2083
585	2941	2077
586	2945	2072
587	2950	2067
588	2954	2061
589	2959	2056
590	2964	2051
591	2969	2046
592	2973	2041
593	2978	2035
594	2982	2030
595	2986	2024
596	2990	2018
597	2996	2014
598	3001	2009
599	3006	2004
600	3011	1999
601	3015	1993
602	3020	1988
603	3024	1983
604	3029	1977
605	3033	1972
606	3038	1967
607	3042	1961
608	3046	1956
609	3051	1950
610	3055	1945
611	3059	1939
612	3063	1933
613	3068	1928
614	3072	1923
615	3077	1918
616	3081	1912
617	3086	1907
618	3090	1902
619	3095	1897
620	3100	1892
621	3105	1887
622	3110	1882
623	3114	1876
624	3119	1871
625	3124	1866
626	3129	1861
627	3134	1856
628	3138	1851
629	3141	1845
630	3147	1840
631	3153	1836
632	3159	1831
633	3164	1826
634	3169	1821
635	3174	1816
636	3178	1811
637	3185	1807
638	3190	1802
639	3197	1798
640	3201	1793
641	3206	1787
642	3211	1782
643	3215	1777
644	3219	1771
645	3226	1768
646	3233	1764
647	3238	1759
648	3243	1754
649	3246	1747
650	3250	1742
651	3255	1737
652	3260	1732
653	3266	1727
654	3270	1722
655	3275	1717
656	3280	1712
657	3284	1707
658	3289	1701
659	3293	1696
660	3297	1691
661	3302	1685
662	3306	1680
663	3314	1677
664	3318	1671
665	3322	1666
666	3328	1661
667	3332	1656
668	3336	1650
669	3340	1645
670	3344	1640
671	3349	1635
672	3354	1629
673	3358	1624
674	3362	1619
675	3367	1613
676	3371	1608
677	3375	1603
678	3380	1597
679	3384	1592
680	3389	1587
681	3393	1582
682	3398	1577
683	3403	1572
684	3407	1567
685	3412	1561
686	3416	1556
687	3421	1551
688	3425	1546
689	3429	1540
690	3436	1536
691	3440	1531
692	3444	1526
693	3449	1520
694	3452	1515
695	3457	1510
696	3461	1504
697	3467	1500
698	3470	1494
699	3475	1489
700	3479	1483
701	3482	1478
702	3487	1473
703	3491	1468
704	3496	1462
705	3500	1457
706	3504	1452
707	3509	1447
708	3515	1442
709	3520	1437
710	3524	1432
711	3528	1427
712	3533	1422
713	3538	1417
714	3543	1412
715	3547	1407
716	3552	1402
717	3556	1397
718	3560	1391
719	3565	1386
720	3569	1381
721	3574	1376
722	3578	1371
723	3583	1366
724	3587	1360
725	3593	1356
726	3597	1350
727	3602	1345
728	3606	1340
729	3611	1335
730	3617	1331
731	3623	1326
732	3628	1321
733	3634	1317
734	3638	1311
735	3645	1307
736	3651	1302
737	3655	1297
738	3662	1293
739	3666	1288
740	3671	1283
741	3676	1278
742	3681	1273
743	3686	1268
744	3694	1264
745	3702	1260
746	3708	1255
747	3712	1250
748	3717	1245
749	3723	1241
750	3731	1237
751	3740	1233
752	3751	1230
753	3757	1226
754	3762	1221
755	3773	1218
756	3782	1214
757	3789	1209
758	3794	1204
759	3800	1200
760	3805	1195
761	3810	1190
762	3818	1186
763	3825	1181
764	3829	1176
765	3834	1171
766	3838	1166
767	3842	1160
768	3846	1155
769	3852	1150
770	3858	1146
771	3864	1141
772	3869	1136
773	3874	1131
774	3879	1126
775	3884	1121
776	3888	1115
777	3893	1111
778	3898	1106
779	3904	1101
780	3908	1096
781	3914	1091
782	3919	1086
783	3924	1081
784	3930	1076
785	3936	1071
786	3942	1067
787	3947	1061
788	3952	1057
789	3956	1051
790	3961	1046
791	3966	1041
792	3972	1036
793	3977	1031
794	3982	1026
795	3987	1021
796	3991	1016
797	3995	1011
798	3999	1006
799	4005	1001
800	4011	996
801	4015	991
802	4019	986
803	4023	980
804	4027	975
805	4031	970
806	4035	965
807	4040	960
808	4044	954
809	4049	949
810	4053	944
811	4057	939
812	4062	934
813	4065	929
814	4070	923
815	4074	918
816	4078	913
817	4083	908
818	4088	903
819	4092	898
820	4096	893
821	4101	888
822	4105	882
823	4110	877
824	4114	872
825	4118	867
826	4121	862
827	4125	857
828	4130	852
829	4134	846
830	4139	841
831	4143	836
832	4147	831
833	4151	826
834	4155	821
835	4160	816
836	4164	811
837	4171	806
838	4176	801
839	4181	796
840	4186	791
841	4189	786
842	4193	781
843	4199	776
844	4203	771
845	4210	766
846	4215	761
847	4220	756
848	4225	751
849	4229	746
850	4234	741
851	4239	736
852	4242	731
853	4247	726
854	4251	721
855	4258	716
856	4263	711
857	4268	706
858	4273	701
859	4276	696
860	4279	690
861	4285	686
862	4289	680
863	4294	676
864	4298	670
865	4303	665
866	4306	660
867	4309	655
868	4313	650
869	4317	645
870	4322	640
871	4325	634
872	4328	629
873	4332	624
874	4336	619
875	4341	614
876	4344	609
877	4348	604
878	4352	599
879	4355	593
880	4358	588
881	4362	583
882	4365	578
883	4367	573
884	4370	567
885	4372	562
886	4375	557
887	4379	552
888	4382	547
889	4385	542
890	4389	537
891	4393	531
892	4396	526
893	4400	521
894	4403	516
895	4408	511
896	4411	506
897	4415	501
898	4419	496
899	4422	491
900	4427	486
901	4431	481
902	4434	476
903	4438	471
904	4441	466
905	4444	461
906	4447	456
907	4450	450
908	4455	446
909	4458	440
910	4461	435
